"customer_number","customer_name","contact_last_name","contact_first_name","city","state","order_ym","required_ym","profit_each","cost_each","price_each","total_sale","office_state","office_city","buy_price","product_name","product_line","order_date","office_code","product_vendor"
112,"Signal Gift Stores","King","Jean","Las Vegas","NV",201412,201412,66.3,86.7,153,3213,"CA","San Francisco",86.7,"1917 Grand Touring Sedan","Vintage Cars","2014-12-21",1,"Welly Diecast Productions"
112,"Signal Gift Stores","King","Jean","Las Vegas","NV",201412,201412,24.82,33.29,"","","CA","San Francisco",33.29,"1911 Ford Town Car","Vintage Cars","2014-12-21",1,"Motor City Art Classics"
112,"Signal Gift Stores","King","Jean","Las Vegas","NV",201412,201412,53.39,58.48,"","","CA","San Francisco",58.48,"1932 Model A Ford J-Coupe","Vintage Cars","2014-12-21",1,"Autoart Studio Design"
112,"Signal Gift Stores","King","Jean","Las Vegas","NV",201412,201412,32.2,43.26,"","","CA","San Francisco",43.26,"1932 Alfa Romeo 8C2300 Spider Sport","Vintage Cars","2014-12-21",1,"Exoto Designs"
112,"Signal Gift Stores","King","Jean","Las Vegas","NV",201412,201412,32.07,34.21,"","","CA","San Francisco",34.21,"1957 Ford Thunderbird","Classic Cars","2014-12-21",1,"Studio M Art Models"
112,"Signal Gift Stores","King","Jean","Las Vegas","NV",201412,201412,13.23,49.24,"","","CA","San Francisco",49.24,"1970 Chevy Chevelle SS 454","Classic Cars","2014-12-21",1,"Unimax Art Galleries"
112,"Signal Gift Stores","King","Jean","Las Vegas","NV",201412,201412,7.96,22.57,"","","CA","San Francisco",22.57,"1939 Chevrolet Deluxe Coupe","Vintage Cars","2014-12-21",1,"Motor City Art Classics"
112,"Signal Gift Stores","King","Jean","Las Vegas","NV",201412,201412,15.68,20.61,"","","CA","San Francisco",20.61,"1938 Cadillac V-16 Presidential Limousine","Vintage Cars","2014-12-21",1,"Classic Metal Creations"
112,"Signal Gift Stores","King","Jean","Las Vegas","NV",201412,201412,27.26,47.25,"","","CA","San Francisco",47.25,"1949 Jaguar XK 120","Classic Cars","2014-12-21",1,"Classic Metal Creations"
112,"Signal Gift Stores","King","Jean","Las Vegas","NV",201412,201412,21.13,72.81,"","","CA","San Francisco",72.81,"1952 Citroen-15CV","Classic Cars","2014-12-21",1,"Exoto Designs"
112,"Signal Gift Stores","King","Jean","Las Vegas","NV",201412,201412,25.68,50.51,"","","CA","San Francisco",50.51,"1969 Chevrolet Camaro Z28","Classic Cars","2014-12-21",1,"Exoto Designs"
112,"Signal Gift Stores","King","Jean","Las Vegas","NV",201412,201412,39.61,62.11,"","","CA","San Francisco",62.11,"2002 Chevy Corvette","Classic Cars","2014-12-21",1,"Gearbox Collectibles"
112,"Signal Gift Stores","King","Jean","Las Vegas","NV",201412,201412,14.36,21.75,"","","CA","San Francisco",21.75,"1936 Mercedes Benz 500k Roadster","Vintage Cars","2014-12-21",1,"Red Start Diecast"
112,"Signal Gift Stores","King","Jean","Las Vegas","NV",201603,201603,31.14,83.51,"","","CA","San Francisco",83.51,"1993 Mazda RX-7","Classic Cars","2016-03-06",1,"Highway 66 Mini Classics"
112,"Signal Gift Stores","King","Jean","Las Vegas","NV",201603,201603,41.06,65.95,"","","CA","San Francisco",65.95,"1965 Aston Martin DB5","Classic Cars","2016-03-06",1,"Classic Metal Creations"
112,"Signal Gift Stores","King","Jean","Las Vegas","NV",201603,201603,19.25,53.9,"","","CA","San Francisco",53.9,"1948 Porsche 356-A Roadster","Classic Cars","2016-03-06",1,"Gearbox Collectibles"
112,"Signal Gift Stores","King","Jean","Las Vegas","NV",201603,201603,24.18,93.89,"","","CA","San Francisco",93.89,"1995 Honda Civic","Classic Cars","2016-03-06",1,"Min Lin Diecast"
112,"Signal Gift Stores","King","Jean","Las Vegas","NV",201603,201603,60.72,56.76,"","","CA","San Francisco",56.76,"1999 Indy 500 Monte Carlo SS","Classic Cars","2016-03-06",1,"Red Start Diecast"
112,"Signal Gift Stores","King","Jean","Las Vegas","NV",201603,201603,89.75,77.9,"","","CA","San Francisco",77.9,"1992 Ferrari 360 Spider red","Classic Cars","2016-03-06",1,"Unimax Art Galleries"
112,"Signal Gift Stores","King","Jean","Las Vegas","NV",201603,201603,52.28,62.16,"","","CA","San Francisco",62.16,"1948 Porsche Type 356 Roadster","Classic Cars","2016-03-06",1,"Gearbox Collectibles"
112,"Signal Gift Stores","King","Jean","Las Vegas","NV",201603,201603,19.62,29.18,"",1708,"CA","San Francisco",29.18,"1966 Shelby Cobra 427 S/C","Classic Cars","2016-03-06",1,"Carousel DieCast Legends"
112,"Signal Gift Stores","King","Jean","Las Vegas","NV",201603,201603,21.14,16.23,"","","CA","San Francisco",16.23,"1982 Lamborghini Diablo","Classic Cars","2016-03-06",1,"Second Gear Diecast"
112,"Signal Gift Stores","King","Jean","Las Vegas","NV",201603,201603,37.92,98.3,"","","CA","San Francisco",98.3,"1956 Porsche 356A Coupe","Classic Cars","2016-03-06",1,"Classic Metal Creations"
112,"Signal Gift Stores","King","Jean","Las Vegas","NV",201606,201607,27.74,60.62,"","","CA","San Francisco",60.62,"1937 Lincoln Berline","Vintage Cars","2016-06-29",1,"Motor City Art Classics"
112,"Signal Gift Stores","King","Jean","Las Vegas","NV",201606,201607,39.99,47.25,"",2181,"CA","San Francisco",47.25,"1949 Jaguar XK 120","Classic Cars","2016-06-29",1,"Classic Metal Creations"
112,"Signal Gift Stores","King","Jean","Las Vegas","NV",201606,201607,44.62,72.81,"","","CA","San Francisco",72.81,"1952 Citroen-15CV","Classic Cars","2016-06-29",1,"Exoto Designs"
112,"Signal Gift Stores","King","Jean","Las Vegas","NV",201606,201607,29.96,50.51,"","","CA","San Francisco",50.51,"1969 Chevrolet Camaro Z28","Classic Cars","2016-06-29",1,"Exoto Designs"
112,"Signal Gift Stores","King","Jean","Las Vegas","NV",201606,201607,41.76,62.11,"","","CA","San Francisco",62.11,"2002 Chevy Corvette","Classic Cars","2016-06-29",1,"Gearbox Collectibles"
112,"Signal Gift Stores","King","Jean","Las Vegas","NV",201606,201607,16.82,21.75,"","","CA","San Francisco",21.75,"1936 Mercedes Benz 500k Roadster","Vintage Cars","2016-06-29",1,"Red Start Diecast"
114,"Australian Collectors, Co.","Ferguson","Peter","Melbourne","Victoria",201411,201412,49.95,68.98,"","","","Sydney",68.98,"1996 Moto Guzzi 1100i","Motorcycles","2014-11-29",6,"Highway 66 Mini Classics"
114,"Australian Collectors, Co.","Ferguson","Peter","Melbourne","Victoria",201411,201412,67.78,91.02,"","","","Sydney",91.02,"2003 Harley-Davidson Eagle Drag Bike","Motorcycles","2014-11-29",6,"Red Start Diecast"
114,"Australian Collectors, Co.","Ferguson","Peter","Melbourne","Victoria",201411,201412,33.79,49,"","","","Sydney",49,"P-51-D Mustang","Planes","2014-11-29",6,"Gearbox Collectibles"
114,"Australian Collectors, Co.","Ferguson","Peter","Melbourne","Victoria",201411,201412,33.31,24.23,"","","","Sydney",24.23,"1936 Harley Davidson El Knucklehead","Motorcycles","2014-11-29",6,"Welly Diecast Productions"
114,"Australian Collectors, Co.","Ferguson","Peter","Melbourne","Victoria",201411,201412,49.59,60.86,"","","","Sydney",60.86,"1997 BMW R 1100 S","Motorcycles","2014-11-29",6,"Autoart Studio Design"
114,"Australian Collectors, Co.","Ferguson","Peter","Melbourne","Victoria",201411,201412,26.27,66.73,"","","","Sydney",66.73,"1928 British Royal Navy Airplane","Planes","2014-11-29",6,"Classic Metal Creations"
114,"Australian Collectors, Co.","Ferguson","Peter","Melbourne","Victoria",201411,201412,35.04,37.32,"","","","Sydney",37.32,"1960 BSA Gold Star DBD34","Motorcycles","2014-11-29",6,"Highway 66 Mini Classics"
114,"Australian Collectors, Co.","Ferguson","Peter","Melbourne","Victoria",201411,201412,35.5,36.22,"","","","Sydney",36.22,"1900s Vintage Tri-Plane","Planes","2014-11-29",6,"Unimax Art Galleries"
114,"Australian Collectors, Co.","Ferguson","Peter","Melbourne","Victoria",201411,201412,27.98,66.92,"","","","Sydney",66.92,"1997 BMW F650 ST","Motorcycles","2014-11-29",6,"Exoto Designs"
114,"Australian Collectors, Co.","Ferguson","Peter","Melbourne","Victoria",201411,201412,35.77,33.02,"","","","Sydney",33.02,"1928 Ford Phaeton Deluxe","Vintage Cars","2014-11-29",6,"Highway 66 Mini Classics"
114,"Australian Collectors, Co.","Ferguson","Peter","Melbourne","Victoria",201411,201412,14.4,27.06,"","","","Sydney",27.06,"1930 Buick Marquette Phaeton","Vintage Cars","2014-11-29",6,"Studio M Art Models"
114,"Australian Collectors, Co.","Ferguson","Peter","Melbourne","Victoria",201411,201412,40.19,51.15,"","","","Sydney",51.15,"American Airlines: B767-300","Planes","2014-11-29",6,"Min Lin Diecast"
114,"Australian Collectors, Co.","Ferguson","Peter","Melbourne","Victoria",201411,201412,12.97,68.8,"","","","Sydney",68.8,"America West Airlines B757-200","Planes","2014-11-29",6,"Motor City Art Classics"
114,"Australian Collectors, Co.","Ferguson","Peter","Melbourne","Victoria",201411,201412,47.46,59.33,"","","","Sydney",59.33,"ATA: B757-300","Planes","2014-11-29",6,"Highway 66 Mini Classics"
114,"Australian Collectors, Co.","Ferguson","Peter","Melbourne","Victoria",201411,201412,17.6,54.4,72,3096,"","Sydney",54.4,"F/A 18 Hornet 1/72","Planes","2014-11-29",6,"Motor City Art Classics"
114,"Australian Collectors, Co.","Ferguson","Peter","Melbourne","Victoria",201412,201412,28.76,60.62,"","","","Sydney",60.62,"1937 Lincoln Berline","Vintage Cars","2014-12-21",6,"Motor City Art Classics"
114,"Australian Collectors, Co.","Ferguson","Peter","Melbourne","Victoria",201412,201412,65.81,72.56,"","","","Sydney",72.56,"1928 Mercedes-Benz SSK","Vintage Cars","2014-12-21",6,"Gearbox Collectibles"
114,"Australian Collectors, Co.","Ferguson","Peter","Melbourne","Victoria",201509,201509,31.58,48.81,"","","","Sydney",48.81,"1969 Harley Davidson Ultimate Chopper","Motorcycles","2015-09-20",6,"Min Lin Diecast"
114,"Australian Collectors, Co.","Ferguson","Peter","Melbourne","Victoria",201509,201509,41.62,68.98,"","","","Sydney",68.98,"1996 Moto Guzzi 1100i","Motorcycles","2015-09-20",6,"Highway 66 Mini Classics"
114,"Australian Collectors, Co.","Ferguson","Peter","Melbourne","Victoria",201509,201509,98.77,91.02,"","","","Sydney",91.02,"2003 Harley-Davidson Eagle Drag Bike","Motorcycles","2015-09-20",6,"Red Start Diecast"
114,"Australian Collectors, Co.","Ferguson","Peter","Melbourne","Victoria",201509,201509,18.57,49,"","","","Sydney",49,"P-51-D Mustang","Planes","2015-09-20",6,"Gearbox Collectibles"
114,"Australian Collectors, Co.","Ferguson","Peter","Melbourne","Victoria",201509,201509,34.52,24.23,"",1645,"","Sydney",24.23,"1936 Harley Davidson El Knucklehead","Motorcycles","2015-09-20",6,"Welly Diecast Productions"
114,"Australian Collectors, Co.","Ferguson","Peter","Melbourne","Victoria",201509,201509,43.95,60.86,"","","","Sydney",60.86,"1997 BMW R 1100 S","Motorcycles","2015-09-20",6,"Autoart Studio Design"
114,"Australian Collectors, Co.","Ferguson","Peter","Melbourne","Victoria",201509,201509,20.8,66.73,"","","","Sydney",66.73,"1928 British Royal Navy Airplane","Planes","2015-09-20",6,"Classic Metal Creations"
